comparison,K,role,loss_type,lora_rank,mix_prob,base_num_images,distilled_num_images,base_eval_tier,distilled_eval_tier,base_fid,distilled_fid,fid_improvement,base_kid,distilled_kid,kid_improvement,base_is,distilled_is,is_improvement,base_precision,distilled_precision,precision_delta,base_recall,distilled_recall,recall_delta,base_time_per_image_s,distilled_time_per_image_s,time_ratio_lora_over_ddim,base_speedup_vs_ddpm1000_ref,distilled_speedup_vs_ddpm1000_ref,verdict_fid,verdict_recall
LoRA-distill-forward-r4-K8 vs DDIM-8,8,main_K8_forward,distill,4,0.0,10000.0,10000.0,final_10k,final_10k,47.124283834790845,38.484781413631595,8.63950242115925,0.02586587905883789,0.019522221088409425,0.006343657970428466,6.829572825811399,7.1358334604448,0.3062606346334018,0.9031999707221985,0.8700000047683716,-0.033199965953826904,0.10199999809265137,0.156700000166893,0.05470000207424164,0.004768835186958313,0.004825164079666138,1.0118118765902986,141.39044091438208,139.7398510391608,LoRA improved,Recall recovered
LoRA-distill-mixed-r4-K8 vs DDIM-8,8,state_ablation_K8,distill,4,0.5,10000.0,10000.0,final_10k,final_10k,47.124283834790845,38.239032149602,8.885251685188848,0.02586587905883789,0.019368767738342285,0.006497111320495606,6.829572825811399,7.133345549603993,0.30377272379259423,0.9031999707221985,0.871399998664856,-0.03179997205734253,0.10199999809265137,0.15889999270439148,0.05689999461174011,0.004768835186958313,0.0048180179595947266,1.0103133722823798,141.39044091438208,139.94711422552948,LoRA improved,Recall recovered
LoRA-distill-mixed-r4-K4 vs DDIM-4,4,main_K4_extreme,distill,4,0.5,10000.0,10000.0,final_10k,final_10k,103.27981537228578,68.3363375276059,34.943477844679876,0.07252320766448975,0.04075003147125244,0.03177317619323731,5.2912463115498,6.180310667739043,0.8890643561892428,0.8525000214576721,0.8482000231742859,-0.0042999982833862305,0.014800000004470348,0.05050000175833702,0.03570000175386667,0.0026922486782073973,0.002716459798812866,1.0089928990592316,250.447781882099,248.2156040103081,LoRA improved,Recall recovered
LoRA-distill-mixed-r4-K2 vs DDIM-2,2,extreme_K2,distill,4,0.5,10000.0,10000.0,final_10k,final_10k,188.84237050829955,159.1166415513389,29.725728956960666,0.15166831016540527,0.12977285146713258,0.021895458698272696,3.7342349745896213,3.8504988855288182,0.11626391093919697,0.40070000290870667,0.45089998841285706,0.05019998550415039,0.00139999995008111,0.0015999999595806003,0.00020000000949949026,0.001657853889465332,0.0016755241394042968,1.0106585086003348,406.7111788418888,402.42196091056,LoRA improved,Recall recovered
LoRA-distill-mixed-r4-K1 vs DDIM-1,1,extreme_K1,distill,4,0.5,10000.0,10000.0,final_10k,final_10k,325.10674342402626,326.5653034721396,-1.458560048113327,0.34208586931228635,0.3449164009094238,-0.0028305315971374756,1.5570000344388908,1.5495069356786724,-0.00749309876021842,0.005499999970197678,0.006000000052154064,0.0005000000819563866,0.0,0.0,0.0,0.0012062227964401244,0.0012076778173446656,1.0012062621506037,558.9910186758152,558.3175413576573,No FID gain,No recall gain
LoRA-naive-eps-r4-K8 vs DDIM-8,8,naive_control_K8,naive_eps,4,0.0,10000.0,10000.0,final_10k,final_10k,47.124283834790845,46.1624335642631,0.9618502705277479,0.02586587905883789,0.026145226955413818,-0.0002793478965759273,6.829572825811399,6.7589916806131445,-0.07058114519825409,0.9031999707221985,0.9142000079154968,0.01100003719329834,0.10199999809265137,0.10180000215768814,-0.00019999593496322632,0.004768835186958313,0.004807633185386658,1.0081357390027754,141.39044091438208,140.249408332892,LoRA improved,No recall gain
LoRA-naive-eps-r4-K4 vs DDIM-4,4,naive_control_K4,naive_eps,4,0.0,10000.0,10000.0,final_10k,final_10k,103.27981537228578,106.7871659326072,-3.507350560321413,0.07252320766448975,0.08041980266571044,-0.007896595001220696,5.2912463115498,4.901922449925219,-0.38932386162458155,0.8525000214576721,0.8690000176429749,0.016499996185302734,0.014800000004470348,0.01360000018030405,-0.001199999824166298,0.0026922486782073973,0.0027185323238372804,1.009762710942209,250.447781882099,248.02637210519126,No FID gain,No recall gain
LoRA-distill-forward-r2-K8 vs DDIM-8,8,rank_ablation_r2_K8,distill,2,0.0,10000.0,10000.0,final_10k,final_10k,47.124283834790845,38.324838931957174,8.79944490283367,0.02586587905883789,0.01947591543197632,0.006389963626861572,6.829572825811399,7.117818737580599,0.28824591176920045,0.9031999707221985,0.8705999851226807,-0.03259998559951782,0.10199999809265137,0.15189999341964722,0.04989999532699585,0.004768835186958313,0.004814906883239746,1.009660995709692,141.39044091438208,140.03753885233385,LoRA improved,Recall recovered
LoRA-distill-forward-r8-K8 vs DDIM-8,8,rank_ablation_r8_K8,distill,8,0.0,10000.0,10000.0,final_10k,final_10k,47.124283834790845,37.665574632034804,9.45870920275604,0.02586587905883789,0.01898932933807373,0.006876549720764159,6.829572825811399,7.168161285041147,0.3385884592297481,0.9031999707221985,0.863099992275238,-0.04009997844696045,0.10199999809265137,0.1623000055551529,0.060300007462501526,0.004768835186958313,0.00482476921081543,1.011729074640718,141.39044091438208,139.75128763062602,LoRA improved,Recall recovered
causal: distillation vs naive eps at K=8,8,causal_control_summary,distill_vs_naive_eps,4,matched_rank,,,,,,,7.677652150631502,,,0.006623005867004393,,,0.3768417798316559,,,-0.044200003147125244,,,0.054899998009204865,,,1.003646470852387,,,distillation better,distillation higher recall
causal: distillation vs naive eps at K=4,4,causal_control_summary,distill_vs_naive_eps,4,matched_rank,,,,,,,38.45082840500129,,,0.039669771194458005,,,1.2783882178138244,,,-0.020799994468688965,,,0.03690000157803297,,,0.9992376309061175,,,distillation better,distillation higher recall
state-source ablation: mixed vs forward-only at K=8,8,state_ablation_summary,distill,4,0.50_vs_0.00,,,,,,,0.24574926402959818,,,0.00015345335006713978,,,-0.0024879108408075723,,,0.001399993896484375,,,0.002199992537498474,,,,,,mixed states better,mixed higher recall
rank ablation: r4 vs r2 at K=8,8,rank_ablation_summary,distill,4_vs_other,0.0,,,,,,,-0.15994248167442038,,,-4.6305656433105746e-05,,,0.01801472286420136,,,-0.000599980354309082,,,0.004800006747245789,,,,,,other rank enough/better,
rank ablation: r4 vs r8 at K=8,8,rank_ablation_summary,distill,4_vs_other,0.0,,,,,,,-0.8192067815967903,,,-0.0005328917503356935,,,-0.03232782459634631,,,0.006900012493133545,,,-0.005600005388259888,,,,,,other rank enough/better,
